"","accelerometer_x","accelerometer_y","accelerometer_z","gyroscope_x","gyroscope_y","gyroscope_z","linear_acc_x","linear_acc_y","linear_acc_z","gravity_x","gravity_y","gravity_z","orientation_z","orientation_x","orientation_y","activity"
"0",-1.3216,-10.724,-1.6257,-1.9986,-9.5212,-1.2338,0.5982,-1.1754,-0.5259,-0.5976,0.5758,0.2197,231.44,76.14,121.69,"walking"
"1",-1.6832,-9.0671,-0.1077,-2.0672,-9.3668,-2.0395,0.3844,0.3058,1.903,-0.3746,0.825,0.191,221.81,74.03,129.99,"walking"
"2",0.1053,-10.0967,0.1748,-2.0019,-9.3949,-1.9744,2.1154,-0.7076,2.1687,-0.0765,0.2856,0.1904,219.23,72.77,134.61,"walking"
"3",-4.4055,-7.8412,-3.9745,-1.9914,-9.5179,-1.2706,-2.3831,1.6961,-2.9167,1.1959,-0.2342,0.2154,232.86,76.06,122.54,"walking"
"4",0.4645,-13.032,-2.5691,-2.354,-9.5181,-0.1861,1.9804,-3.162,-1.77,1.246,-0.4346,-0.0027,246.24,76.51,108.89,"walking"
"5",-1.6784,-8.0328,0.0886,-1.8429,-9.6318,0.0527,0.1645,1.599,0.0359,0.3627,-0.4578,-0.4407,263.2,79.16,88.36,"walking"
"6",-1.6066,-9.1988,-0.1939,-1.6676,-9.6597,0.2815,0.0611,0.4609,-0.4754,-0.0863,-0.2819,0.2692,270.17,80.37,81.85,"walking"
"7",-0.8667,-10.2307,1.2666,-2.0207,-9.5961,0.03,1.324,-0.6753,1.2749,-0.1449,-0.1432,0.2991,263.43,78.26,89.56,"walking"
"8",-5.0615,-19.5421,-2.186,-1.7855,-9.6277,0.5389,-3.2759,-9.9144,-2.7249,-0.5542,0.4463,-0.3435,264.42,78.34,85.91,"walking"
"9",-0.431,-8.3704,-0.735,-1.6917,-9.6594,0.063,1.1458,0.8078,-0.5083,-0.2891,0.3644,-0.2434,269.47,80.02,82.42,"walking"
"10",-2.9378,-8.0256,0.2873,-1.8169,-9.5962,-0.8845,-1.1209,1.5706,1.1718,-0.6355,0.7566,0.1995,253.01,80.66,99.71,"walking"
"11",-2.004,-10.7862,-2.4589,-2.14,-9.5018,-1.1434,0.1359,-1.2845,-1.3155,-0.1376,1.2881,0.2142,247.22,76.35,116.91,"walking"
"12",-1.4509,-9.7423,-0.5004,-2.1616,-9.4037,-1.7517,0.7106,-0.3386,1.2513,-0.33,1.1354,0.2643,242.76,74.04,125.91,"walking"
"13",0.3328,-9.2156,0.1628,-1.9651,-9.4048,-1.9643,2.2979,0.1892,2.1271,-0.0637,0.9209,0.1354,238.98,73.12,133.99,"walking"
"14",-2.2458,-11.2842,-2.7965,-1.7941,-9.5121,-1.5718,-0.4517,-1.7721,-1.2247,0.7408,0.1293,0.3651,239.67,74.2,135.73,"walking"
"15",-2.8013,-7.791,-3.2442,-1.965,-9.5682,-0.8703,-0.1718,1.0408,-1.7196,1.0163,0.3357,0.0767,258.97,77.34,113.89,"walking"
"16",-1.5275,-8.3847,-1.1277,-1.6725,-9.6592,-0.2706,0.7863,0.8281,-1.6893,0.6645,0.3553,-0.4498,269.92,77.61,104.58,"walking"
"17",-0.9074,-10.3672,0.158,-1.3229,-9.7167,0.0761,0.1976,-0.4829,0.1369,0.3254,-0.2409,-0.1267,283.51,82.23,86.71,"walking"
"18",-0.407,-9.2204,0.7518,-1.3184,-9.7175,0.0479,0.7302,0.406,0.4892,-0.5029,-0.5531,0.3046,285.93,82.47,83.74,"walking"
"19",-0.1532,-9.8285,1.5299,-1.3172,-9.7161,0.1805,1.164,-0.1124,1.3495,0.2173,-0.5238,-0.0735,272.67,81.82,88.46,"walking"
"20",-3.4956,-8.7223,-0.4453,-1.0081,-9.7471,0.3844,-2.4875,1.0248,-0.8297,-0.6752,-0.2519,-0.4712,283.09,82.48,73.47,"walking"
"21",-2.1381,-9.5651,-2.4757,-0.9297,-9.761,-0.1673,-0.9283,0.0546,-1.7194,-0.8425,-0.5946,-0.1688,251.23,84.47,100.2,"walking"
"22",-2.344,-8.538,-0.2777,-1.3687,-9.6602,-0.9886,-0.8651,1.5661,1.951,-0.2915,-0.3692,0.0505,223.33,82.36,124.94,"walking"
